bid_id,employee_id,artist_id,buyer_id,art_id,bid_price,status
bid-1,e-2,a-3,b-33,art-1,$490,2
bid-2,e-1,a-6,b-2,art-6,$436,2
bid-3,e-2,a-11,b-11,art-13,$791,1
bid-4,e-3,a-19,b-21,art-23,$670,2
bid-5,e-5,a-29,b-28,art-29,$170,2
bid-6,e-6,a-31,b-34,art-31,$29,2
bid-7,e-4,a-38,b-43,art-38,$556,2
bid-8,e-10,a-50,b-47,art-50,$475,2
bid-9,e-8,a-3,b-4,art-1,$484,1
bid-10,e-10,a-43,b-50,art-43,$521,1
bid-11,e-12,a-50,b-36,art-50,$473,1
bid-12,e-13,a-37,b-32,art-48,$424,1
bid-13,e-14,a-18,b-41,art-18,$526,1
bid-14,e-15,a-19,b-26,art-23,$668,1
bid-15,e-16,a-30,b-16,art-30,$235,1
bid-16,e-14,a-42,b-13,art-42,$475,1
bid-17,e-16,a-19,b-8,art-19,$272,1
bid-18,e-20,a-29,b-3,art-29,$169,1
bid-19,e-15,a-11,b-2,art-11,$464,1