city,state
Ahmadabad,Gujarat
Amreli,Gujarat
Bharuch,Gujarat
Bhavnagar,Gujarat
Bhuj,Gujarat
Dwarka,Gujarat
Gandhinagar,Gujarat
Godhra,Gujarat
Mahesana,Gujarat
Morbi,Gujarat
Nadiad,Gujarat
Navsari,Gujarat
Okha,Gujarat
Palanpur,Gujarat
Patan,Gujarat
Porbandar,Gujarat
Rajkot,Gujarat
Surat,Gujarat
Surendranagar,Gujarat
Valsad,Gujarat
Veraval,Gujarat
Karnal,Haryana
Kurukshetra,Haryana
Panipat,Haryana
Pehowa,Haryana
Mandi,Himachal Pradesh
Bilaspur,Himachal Pradesh
Chamba,Himachal Pradesh
Dalhousie,Himachal Pradesh
Bokaro,Jharkhand
Chaibasa,Jharkhand
Deoghar,Jharkhand
Dhanbad,Jharkhand
Dumka,Jharkhand
Giridih,Jharkhand
Hazaribag,Jharkhand
Jamshedpur,Jharkhand
Jharia,Jharkhand